candidateId,sourcePdf,sourcePage,matchType,existingQuestionIds,disposition,recommendedFollowUpGroup,questionTextEs
categoriab_2019_questions-001,categoriab.pdf,1,exact_spanish_tuple,b-fallback-339,duplicate,,"Según la Organización Mundial de la Salud, la siguiente problemática es categorizada como “pandemia” ya que constituye la décima causa de muerte en todo el mundo."
categoriab_2019_questions-002,categoriab.pdf,1,exact_spanish_tuple,b-fallback-445,duplicate,,"Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., ¿cuál es el rango etario con mayor número de víctimas lesionadas y fatales en siniestros viales?"
categoriab_2019_questions-003,categoriab.pdf,2,exact_spanish_tuple,b-fallback-256,duplicate,,"Según las últimas estadísticas del Observatorio Vial de la Ciudad de Bs. As., la tasa más alta de víctimas fatales como consecuencia de incidentes de tránsito (luego de los peatones) son los usuarios de:"
categoriab_2019_questions-004,categoriab.pdf,2,exact_spanish_tuple,b-fallback-141,duplicate,,"La Organización Mundial de la Salud manifiesta que el riesgo en la vía pública surge como resultado de diversos factores, ¿cuáles son?"
categoriab_2019_questions-005,categoriab.pdf,2,exact_spanish_tuple,b-fallback-083,duplicate,,¿A qué factor se deben la mayoría de los siniestros viales?
categoriab_2019_questions-006,categoriab.pdf,2,exact_spanish_tuple,b-fallback-275,duplicate,,"A fin de aumentar la propia seguridad y la de los demás, ¿a qué se debería poner atención durante la circulación?"
categoriab_2019_questions-007,categoriab.pdf,2,exact_spanish_tuple,b-fallback-160,duplicate,,"El factor ambiental es el principal factor de riesgo ya que las colisiones, en su mayoría, se deben a las condiciones meteorológicas o del camino"
categoriab_2019_questions-008,categoriab.pdf,2,exact_spanish_tuple,b-fallback-182,duplicate,,"Por lo general, las fallas mecánicas se deben a conductas negligentes por parte de los propietarios de los vehículos, que no se ocupan de la verificación del estado de su automóvil"
categoriab_2019_questions-009,categoriab.pdf,3,exact_spanish_tuple,b-fallback-047,duplicate,,¿A qué se denomina incidente de tránsito o incidente vial?
categoriab_2019_questions-010,categoriab.pdf,3,exact_spanish_tuple,b-fallback-200,duplicate,,¿De qué se trata el “Programa Visión Cero” creado en 1997 en Suecia?
categoriab_2019_questions-011,categoriab.pdf,3,exact_spanish_tuple,b-fallback-184,duplicate,,“Cada usuario de la vía pública es responsable de una parte del tránsito.” ¿Es correcta ésta premisa?
categoriab_2019_questions-012,categoriab.pdf,3,exact_spanish_tuple,b-fallback-303,duplicate,,"“Como usuarios de la vía pública estamos obligados a no entorpecer injustificadamente la circulación y a no causar peligro, perjuicios o molestias innecesarias a las personas o daños a los bienes.” ¿Es correcta esta premisa?"
categoriab_2019_questions-013,categoriab.pdf,3,exact_spanish_tuple,b-fallback-096,duplicate,,"Además de provocar víctimas fatales o lesionados graves, ¿qué otras consecuencias puede generar un siniestro de tránsito?"
categoriab_2019_questions-014,categoriab.pdf,3,exact_spanish_tuple,b-fallback-332,duplicate,,"Todo usuario de la vía pública debe, como premisa básica…"
categoriab_2019_questions-015,categoriab.pdf,3,exact_spanish_tuple,b-fallback-424,duplicate,,"Los ciclistas no están obligados a respetar todas las normas de tránsito, ya que no utilizan un vehículo que genera altas velocidades."
categoriab_2019_questions-016,categoriab.pdf,4,exact_spanish_tuple,b-fallback-098,duplicate,,¿A qué se denomina Movilidad Sustentable?
categoriab_2019_questions-017,categoriab.pdf,4,exact_spanish_tuple,b-fallback-048,duplicate,,¿Cuáles son los dos principios básicos de todo sistema de tránsito en el mundo?
categoriab_2019_questions-018,categoriab.pdf,4,exact_spanish_tuple,b-fallback-352,duplicate,,Indique cuál es la premisa correcta:
categoriab_2019_questions-019,categoriab.pdf,4,exact_spanish_tuple,b-fallback-285,duplicate,,Indique cuál de las siguientes situaciones conlleva mayor probabilidad de siniestralidad
categoriab_2019_questions-020,categoriab.pdf,5,exact_spanish_tuple,b-fallback-371,duplicate,,Indique cuál es la premisa correcta:
